時間,亮度,溫度
323,20230629 02:05:04,28.0,0.016121152906692693
324,20230629 02:05:04,28.0,0.02198339032730834
325,20230629 02:05:04,24.0,0.018075232046897982
326,20230629 02:05:04,29.0,0.014167073766487626
327,20230629 02:05:04,24.0,0.006350757205666913
328,20230629 02:05:04,26.0,0.01319003419638487
329,20230629 02:05:04,24.0,0.02002931118710305
330,20230629 02:05:04,28.0,0.05617977528089879
331,20230629 02:05:04,23.0,0.02002931118710305
332,20230629 02:05:04,29.0,0.01514411333659016
333,20230629 02:05:04,29.0,0.028822667318026296
334,20230629 02:05:04,25.0,0.01514411333659016
335,20230629 02:05:04,28.0,0.027845627747923762
336,20230629 02:05:04,24.0,0.0004885197850512668
337,20230629 02:05:04,28.0,0.03175378602833412
338,20230629 02:05:04,25.0,0.011235955056179803
339,20230629 02:05:04,27.0,0.027845627747923762
340,20230629 02:05:04,28.0,0.025891548607718695
341,20230629 02:05:04,26.0,0.02198339032730834
342,20230629 02:05:04,26.0,0.02491450903761594
343,20230629 02:05:04,24.0,0.02002931118710305
344,20230629 02:05:04,24.0,0.021006350757205583
345,20230629 02:05:04,28.0,0.04152418172936012
346,20230629 02:05:04,29.0,0.009281875915974513
347,20230629 02:05:04,27.0,0.018075232046897982
348,20230629 02:05:04,26.0,0.019052271617000516
349,20230629 02:05:04,26.0,0.021006350757205583
350,20230629 02:05:04,24.0,0.047386419149975545
351,20230629 02:05:04,28.0,0.011235955056179803
352,20230629 02:05:04,28.0,0.017098192476795226
353,20230629 02:05:04,25.0,0.02002931118710305
354,20230629 02:05:04,29.0,0.018075232046897982
355,20230629 02:05:04,24.0,0.018075232046897982
356,20230629 02:05:04,24.0,0.02002931118710305
357,20230629 02:05:04,25.0,0.023937469467513406
358,20230629 02:05:04,28.0,0.02198339032730834
359,20230629 02:05:04,27.0,0.019052271617000516
360,20230629 02:05:04,29.0,0.017098192476795226
361,20230629 02:05:04,28.0,0.018075232046897982
362,20230629 02:05:04,24.0,0.02198339032730834
363,20230629 02:05:04,29.0,0.022960429897410872
364,20230629 02:05:04,24.0,0.019052271617000516
365,20230629 02:05:04,23.0,0.04543234000977048
366,20230629 02:05:04,28.0,0.014167073766487626
367,20230629 02:05:04,28.0,0.017098192476795226
368,20230629 02:05:04,24.0,0.019052271617000516
369,20230629 02:05:04,25.0,0.019052271617000516
370,20230629 02:05:04,28.0,0.02002931118710305
371,20230629 02:05:04,25.0,0.018075232046897982
372,20230629 02:05:04,25.0,0.01514411333659016
